국가유산종목,문화재명(국문),문화재명(한자),시도명,시군구명,관리자,종목코드,시도코드,관리번호,경도,위도
보물,청자 상감‘덕천’명 연화양류문 매병,靑磁 象嵌 ‘德泉’銘 蓮花楊柳文 梅甁,서울,관악구,호림박물관,12,11,0014520000000,126.9516133,37.4784063
보물,청자 주전자,靑磁 注子,서울,관악구,호림박물관,12,11,0014530000000,126.9516133,37.4784063
보물,청자 음각연화문 팔각장경병,靑磁 陰刻蓮花文 八角長頸甁,서울,관악구,호림박물관,12,11,0014540000000,126.9516133,37.4784063
보물,분청사기 상감파도어문 병,粉靑沙器 象嵌波濤魚文 甁,서울,관악구,호림박물관,12,11,0014550000000,126.9516133,37.4784063
보물,분청사기 박지태극문 편병,粉靑沙器 剝地太極文 扁甁,서울,관악구,호림박물관,12,11,0014560000000,126.9516133,37.4784063
보물,백자 사각발형 제기,白磁 四角鉢形 祭器,서울,관악구,호림박물관,12,11,0014570000000,126.9516133,37.4784063
보물,백자 청화철화‘시’명나비문 팔각연적,白磁 靑畵鐵畵‘詩’銘蝶文 八角硯滴,서울,관악구,호림박물관,12,11,0014580000000,126.9516133,37.4784063
보물,해동조계복암화상잡저,海東曹溪宓庵和尙雜著,서울,용산구,국립중앙박물관,12,11,0014590000000,126.974851135691,37.576571075929
보물,흥천사명 동종,興天寺銘 銅鍾,서울,종로구,국가유산청 궁능유적본부,12,11,0014600000000,126.9750217,37.565897
보물,부산 범어사 조계문,釜山 梵魚寺 曹溪門,부산,금정구,범어사,12,21,0014610000000,129.069674503423,35.2837157445521
보물,서울 인조별서 유기비,서울 仁祖別墅 遺基碑,서울,은평구,서울특별시,12,11,0014620000000,126.916619561156,37.6087288095341
보물,"용비어천가 권8, 9, 10","龍飛御天歌 卷八, 九, 十",대구,달서구,계명대학교 동산도서관,12,22,0014630000100,128.4893367,35.8552388
보물,"용비어천가 권3, 4","龍飛御天歌 卷三, 四",서울,종로구,서울역사박물관,12,11,0014630000200,126.970428789102,37.5701486421235
보물,용비어천가 권1~2,龍飛御天歌 卷一~二,서울,관악구,서울대학교 규장각,12,11,0014630000300,126.95045327355,37.4623506678375
보물,"용비어천가 권1~2, 7~8","龍飛御天歌 卷一~二, 七~八",서울,성북구,고려대학교도서관,12,11,0014630000400,127.0326858,37.5891997
보물,사마방목,司馬榜目,대구,달서구,계명대학교 동산도서관,12,22,0014640000000,128.4893367,35.8552388
보물,도은선생집(2006),陶隱先生集(2006),대구,달서구,계명대학교 동산도서관,12,22,0014650000100,0,0
보물,도은선생집(2024),陶隱先生集(2024),전남광주,북구,전남대학교도서관,12,24,0014650000200,0,0
보물,진일유고,眞逸遺稿,대구,달서구,계명대학교 동산도서관,12,22,0014660000000,128.4893367,35.8552388
보물,순천 송광사 소조사천왕상,順天 松廣寺塑 造四天王像,전남광주,순천시,송광사,12,36,0014670000000,127.2756552,35.0021686
보물,순천 송광사 소조 사천왕상 복장유물,順天 松廣寺 塑造 四天王像 腹藏遺物,전남광주,순천시,송광사,12,36,0014680000000,127.2756552,35.0021686
보물,마천목 좌명공신녹권,馬天牧 佐命功臣錄券,서울,종로구,국립고궁박물관,12,11,0014690000000,126.974851135691,37.576571075929
보물,영광 불갑사 석가삼존상 및 16나한상 복장전적,靈光 佛甲寺 釋迦三尊像 및十六羅漢像 腹藏典籍,전남광주,영광군,불갑사,12,36,0014700000000,126.5497722,35.2008006
보물,양산 통도사 삼층석탑,梁山 通度寺 三層石塔,경남,양산시,통도사,12,38,0014710000000,129.064931732911,35.4878679276122
보물,통도사 아미타여래설법도,通度寺 阿彌陀如來說法圖,경남,양산시,통도사,12,38,0014720000000,129.0643866,35.4879561
보물,여주이씨 옥산문중 고문서,驪州李氏 玉山門中 古文書,경북,경주시,이＊＊＊,12,37,0014730000000,0,0
보물,경주이씨 양월문중 고문서 및 향안,慶州李氏 楊月門中 古文書 및 鄕案,경북,경주시,국립경주박물관,12,37,0014740000100,129.227912382125,35.8293874259588
보물,경주이씨 양월문중 고문서 및 향안 - 이지대 왕지,慶州李氏 楊月門中 古文書 및 鄕案 - 李之帶 王旨,서울,종로구,서울역사박물관,12,11,0014740000200,126.970428789102,37.5701486421235
보물,안압지 출토 금동판 불상 일괄,雁鴨池 出土 金銅板 佛像 一括,경북,경주시,국립경주박물관,12,37,0014750000000,129.227912382125,35.8293874259588
보물,김시민 선무공신 교서,金時敏 宣武功臣 敎書,경남,진주시,국립진주박물관,12,38,0014760000000,128.076940952636,35.1887775240109
보물,채제공 초상 일괄 - 시복본,蔡濟恭 肖像 一括 - 時服本,경기,수원시,수원화성박물관,12,31,0014770000100,127.0126818,37.2835639
보물,채제공 초상 일괄 - 금관조복본,蔡濟恭 肖像 一括 - 金冠朝服本,경기,수원시,수원화성박물관,12,31,0014770000200,0,0
보물,채제공 초상 일괄 - 흑단령포본,蔡濟恭 肖像 一括 - 黑團領袍本,경기,수원시,수원화성박물관,12,31,0014770000300,0,0
보물,조씨삼형제 초상,趙氏三兄弟 肖像,경기,파주시,국립민속박물관 파주관,12,31,0014780000000,0,0
보물,유숙 초상 및 관련 교지,柳潚 肖像 및 關聯 敎旨,강원,춘천시,국립춘천박물관,12,51,0014790000000,0,0
보물,심환지 초상,沈煥之肖像,경기,용인시,경기도박물관,12,31,0014800000000,127.108755608431,37.2683295776315
보물,김유 초상,金楺 肖像,경기,용인시,경기도박물관,12,31,0014810000000,127.108755608431,37.2683295776315
보물,이시방 초상,李時昉 肖像,대전,유성구,대전시립박물관,12,25,0014820000000,127.323927393046,36.3718371833675
보물,이채 초상,李采 肖像,서울,용산구,국립중앙박물관,12,11,0014830000000,126.980350241652,37.5240413763397
보물,남구만 초상,南九萬 肖像,서울,용산구,국립중앙박물관,12,11,0014840000000,126.980350241652,37.5240413763397
보물,강이오 초상,姜彛五 肖像,서울,용산구,국립중앙박물관,12,11,0014850000000,126.980350241652,37.5240413763397
보물,이광사 초상,李匡師 肖像,서울,용산구,국립중앙박물관,12,11,0014860000000,126.980350241652,37.5240413763397
보물,서직수 초상,徐直修 肖像,서울,용산구,국립중앙박물관,12,11,0014870000000,126.980350241652,37.5240413763397
보물,심득경 초상,沈得經 肖像,전남광주,북구,국립광주박물관,12,24,0014880000000,126.883091194016,35.1890949671163
보물,박유명 초상,朴惟明 肖像,경기,수원시,수원박물관,12,31,0014890000000,127.0466381,37.2594897
보물,이성윤 초상,李誠胤 肖像,서울,종로구,국립고궁박물관,12,11,0014900000000,126.974851135691,37.576571075929
보물,연잉군 초상,延礽君 肖像,서울,종로구,국립고궁박물관,12,11,0014910000000,126.974851135691,37.576571075929
보물,철종어진,哲宗御眞,서울,종로구,국립고궁박물관,12,11,0014920000000,126.974851135691,37.576571075929
보물,오재순 초상,吳載純 肖像,서울,용산구,삼성문화재단,12,11,0014930000000,126.9989795,37.5386162
보물,황현 초상 및 사진,黃玹 肖像 및 寫眞,전남광주,광산구,재＊＊＊,12,24,0014940000000,0,0
보물,윤증 초상 일괄,尹拯 肖像 一括,충남,논산시,한＊＊＊,12,34,0014950000000,127.0987453,36.1870656
보물,윤급 초상,尹汲 肖像,서울,용산구,국립중앙박물관,12,11,0014960000000,126.980350241652,37.5240413763397
보물,김시습 초상,金時習 肖像,서울,종로구,불교중앙박물관,12,11,0014970000000,0,0
보물,조선후기 문인 초상,朝鮮後期 文人 肖像,부산,남구,신＊＊＊,12,21,0014980000000,0,0
보물,"이하응 초상 일괄 - 흑단령포본, 금관조복본, 와룡관학창의본, 흑건청포본, 복건심의본",李昰應 肖像 一括,서울,종로구,서울역사박물관,12,11,0014990000100,126.970428789102,37.5701486421235
보물,이하응 초상 일괄 - 금관조복본,李昰應 肖像 一括 - 金冠朝服本,서울,용산구,국립중앙박물관,12,11,0014990000200,126.980350241652,37.5240413763397
보물,김이안 초상,金履安 肖像,서울,서대문구,연세대학교박물관,12,11,0015000000000,126.9394838,37.5646597
